player,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,most_common_slot
Brenton Doyle,0,1,7,0,0,1,0,0,1,3
Edouard Julien,0,0,0,0,0,0,1,0,0,7
Ezequiel Tovar,8,0,0,0,0,0,0,2,0,1
Hunter Goodman,0,0,0,0,10,0,0,0,0,5
Jake McCarthy,0,0,0,0,0,0,2,0,0,7
Jordan Beck,0,6,1,0,0,3,0,0,0,2
Kyle Karros,0,3,0,0,0,1,0,0,6,9
Mickey Moniak,0,0,2,0,0,5,1,0,2,6
TJ Rumfield,0,0,0,9,0,0,0,1,0,4
Tyler Freeman,0,0,0,0,0,0,6,0,1,7
Willi Castro,2,0,0,1,0,0,0,7,0,8
