player,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,most_common_slot
Brenton Doyle,1,1,0,0,0,0,0,8,0,8
Ezequiel Tovar,1,0,5,0,4,0,0,0,0,3
Hunter Goodman,1,2,1,6,0,0,0,0,0,4
Jordan Beck,0,0,0,0,0,0,10,0,0,7
Kyle Karros,0,0,0,0,0,0,0,0,10,9
Mickey Moniak,0,5,1,2,0,1,0,1,0,2
TJ Rumfield,0,1,2,1,4,2,0,0,0,5
Tyler Freeman,0,1,0,0,2,7,0,0,0,6
Willi Castro,7,0,1,1,0,0,0,1,0,1
