player,slot_1,slot_2,slot_3,slot_4,slot_5,slot_6,slot_7,slot_8,slot_9,most_common_slot
Brenton Doyle,0,0,0,0,0,1,2,6,1,8
Edouard Julien,0,0,0,0,0,0,0,0,1,9
Ezequiel Tovar,0,0,0,0,0,0,8,2,0,7
Hunter Goodman,0,9,1,0,0,0,0,0,0,2
Jake McCarthy,1,0,0,0,1,0,0,1,6,9
Jordan Beck,0,0,0,0,9,0,0,0,1,5
Kyle Karros,1,1,7,1,0,0,0,0,0,3
Mickey Moniak,0,0,1,8,0,1,0,0,0,4
TJ Rumfield,8,0,1,0,0,0,0,0,1,1
Willi Castro,0,0,0,1,0,8,0,1,0,6
